time,knee
0,0.041720345
1,0.047937605
2,0.063418894
3,0.084476863
4,0.107825381
5,0.13119285
6,0.153503142
7,0.174623248
8,0.194851084
9,0.214402437
10,0.233103677
11,0.250366572
12,0.265385166
13,0.277420282
14,0.286033191
15,0.291186539
16,0.293203614
17,0.292635163
18,0.290102863
19,0.286173948
20,0.281291988
21,0.275763059
22,0.269780451
23,0.263465551
24,0.25690471
25,0.250170981
26,0.243330722
27,0.236442681
28,0.229556848
29,0.222715602
30,0.215955957
31,0.209310662
32,0.202806655
33,0.196460621
34,0.19027356
35,0.184228385
36,0.178293521
37,0.172432973
38,0.166620354
39,0.16085388
40,0.155170478
41,0.149657665
42,0.14446145
43,0.13978798
44,0.135897139
45,0.13308773
46,0.131674036
47,0.131956155
48,0.134190029
49,0.138566998
50,0.145212005
51,0.154204891
52,0.165622474
53,0.179593148
54,0.196351388
55,0.216276108
56,0.239896093
57,0.267849023
58,0.300789433
59,0.339255707
60,0.383523612
61,0.433486816
62,0.488602224
63,0.547919444
64,0.610185596
65,0.673996333
66,0.737948814
67,0.800751057
68,0.861259325
69,0.918452798
70,0.971383051
71,1.019139013
72,1.060850876
73,1.095734526
74,1.123159809
75,1.142713693
76,1.154227479
77,1.157755918
78,1.153517535
79,1.141820126
80,1.122995332
81,1.097360158
82,1.065210801
83,1.026840286
84,0.982563144
85,0.932731785
86,0.877737128
87,0.817995054
88,0.753928738
89,0.685963955
90,0.61455946
91,0.540294218
92,0.464019521
93,0.387054561
94,0.31136093
95,0.239596889
96,0.174950214
97,0.120717375
98,0.079701647
99,0.053586976
100,0.041720345
